"","domain","type","language","in_list_chatgpt","in_list_hbi","in_list_scharkow","in_list_stier","in_list_w3news"
"1","10tv.com","commercial broadcaster",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"2","19vierundachtzig.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"3","20min.ch","legacy press","de",FALSE,FALSE,FALSE,TRUE,FALSE
"4","20minutes.fr","tabloid newspaper","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"5","20minutos.es","tabloid newspaper","es",FALSE,FALSE,FALSE,TRUE,FALSE
"6","20mn.fr","tabloid newspaper",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"7","24chasa.bg","legacy press","bg",TRUE,FALSE,FALSE,FALSE,FALSE
"8","24economia.com","digital-born news outlet","it",FALSE,FALSE,FALSE,TRUE,FALSE
"9","24rhein.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"10","24vest.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"11","3sat.de","public broadcaster","de",FALSE,FALSE,FALSE,TRUE,FALSE
"12","6abc.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"13","a-beig.de","legacy press","de",FALSE,FALSE,FALSE,TRUE,FALSE
"14","aachener-nachrichten.de","legacy press","de",FALSE,TRUE,FALSE,TRUE,TRUE
"15","aachener-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"16","abc.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"17","abc.net.au","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"18","abc13.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"19","abc15.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"20","abc7.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"21","abc7chicago.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"22","abc7ny.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"23","abcactionnews.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"24","abcn.ws","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"25","abendblatt.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"26","abendblatt.de/hamburg/bergedorf","legacy press","de",FALSE,FALSE,FALSE,FALSE,TRUE
"27","abendzeitung-muenchen.de","tabloid newspaper","de",FALSE,TRUE,FALSE,TRUE,TRUE
"28","abgeordneten-check.de","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"29","achgut.com","hyperpartisan news","de",FALSE,FALSE,FALSE,TRUE,FALSE
"30","actu.fr","legacy press","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"31","actu.orange.fr","portal",NA,NA,NA,NA,NA,NA
"32","actualites-la-croix.com","legacy press","ja",FALSE,FALSE,FALSE,TRUE,FALSE
"33","actuall.com","hyperpartisan news","es",FALSE,FALSE,FALSE,TRUE,FALSE
"34","ad.nl","tabloid newspaper","it",TRUE,FALSE,FALSE,FALSE,FALSE
"35","adevarul.ro","legacy press","ro",TRUE,FALSE,FALSE,FALSE,FALSE
"36","adnkronos.com","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
